,preset,crf,power,,id
1080,1,18,25603.0717,7.111964361,1
1080,1,20,25856.17205,7.182270014,2
1080,1,22,25504.31954,7.084533206,3
1080,1,24,25025.37707,6.951493631,4
1080,1,26,25670.91723,7.130810342,5
1080,1,28,25271.1395,7.019760972,6
1080,2,18,25042.91882,6.956366339,7
1080,2,20,24767.64215,6.879900597,8
1080,5,18,25229.36983,7.008158286,25
1080,5,24,25331.34274,7.036484094,28
1080,5,28,25910.72919,7.197424775,30
1080,7,18,25218.58247,7.005161797,37
1080,7,28,25468.06211,7.074461697,42
1080,8,18,26133.14369,7.259206581,43
1080,8,20,25333.36182,7.03704495,44
1080,8,22,25586.81158,7.107447661,45
1080,9,18,24941.67727,6.928243686,49
1080,9,20,25520.25793,7.088960536,50
1080,9,22,24946.74046,6.929650128,51
1080,9,24,25443.65792,7.067682756,52
1080,9,26,25884.7524,7.190209,53
1080,9,28,25147.67997,6.985466658,54
240,1,18,35579.3317,9.883147694,55
240,1,20,35643.80204,9.901056122,56
240,1,22,36059.78094,10.01660582,57
240,1,24,35464.90218,9.851361717,58
240,1,26,35700.23609,9.916732247,59
240,1,28,36226.14483,10.06281801,60
240,2,18,35504.91226,9.862475628,61
240,2,20,35463.97405,9.851103903,62
240,5,18,35124.87376,9.756909378,63
240,5,24,35850.81374,9.958559372,64
240,5,28,35973.93158,9.992758772,65
240,7,18,35570.57075,9.880714097,66
240,7,28,35939.22377,9.983117714,67
240,8,18,31514.29193,8.753969981,68
240,8,20,35968.50521,9.991251447,69
240,8,22,36345.20197,10.09588944,70
240,9,18,35906.25687,9.973960242,71
240,9,20,35825.20076,9.951444656,72
240,9,22,35483.72803,9.856591119,73
240,9,24,35018.15878,9.727266328,74
240,9,26,35574.11356,9.881698211,75
240,9,28,35794.72653,9.942979592,76
480,1,18,41231.36122,11.45315589,77
480,1,20,41561.14939,11.54476372,78
480,1,22,41485.00478,11.52361244,79
480,1,24,41313.07183,11.47585329,80
480,1,26,41253.22352,11.45922876,81
480,1,28,41329.72353,11.48047876,82
480,2,18,40919.44738,11.36651316,83
480,2,20,41725.61812,11.59044948,84
480,5,18,41354.83127,11.48745313,85
480,5,24,41190.90057,11.44191683,86
480,5,28,41198.92555,11.44414598,87
480,7,18,41224.7664,11.451324,88
480,7,28,39716.42376,11.03233993,89
480,8,18,40076.30971,11.13230825,90
480,8,20,39431.3209,10.95314469,91
480,8,22,39717.0758,11.03252106,92
480,9,18,41143.75852,11.42882181,93
480,9,20,40924.13297,11.36781471,94
480,9,22,41472.68714,11.52019087,95
480,9,24,41419.50351,11.50541764,96
480,9,26,40994.33737,11.38731594,97
480,9,28,41860.11209,11.62780891,98
720,1,18,,0,99
720,1,20,,0,100
720,9,18,,0,101
720,9,20,,0,102
720,9,22,,0,103
720,9,24,,0,104
720,9,26,,0,105
2080,1,22,,0,106
2080,1,28,,0,107
2080,2,18,,0,108
2080,2,20,,0,109
2080,5,18,,0,110
2080,8,20,,0,111
2080,8,22,,0,112
2080,9,18,,0,113
2080,9,26,,0,114
2080,9,28,,0,115
