batch_size,learn_rate,epochs,power
64,0.001,5,28865.1322
64,0.001,10,68163.33915
64,0.001,15,94072.19095
64,0.005,5,29280.04166
64,0.005,10,62681.03222
64,0.005,15,85237.7054
64,0.01,5,22097.80701
64,0.01,10,44461.1865
64,0.01,15,88408.6537
128,0.001,5,29119.51831
128,0.001,10,54869.25286
128,0.001,15,82202.6525
128,0.005,5,28006.61156
128,0.005,10,56180.03527
128,0.005,15,82584.10232
128,0.01,5,28553.47754
128,0.01,10,56341.77127
128,0.01,15,85012.00905
256,0.001,5,25781.81385
256,0.001,10,51999.83819
256,0.001,15,74317.73627
256,0.005,5,25457.17558
256,0.005,10,50797.68573
256,0.005,15,83108.44867
256,0.01,5,25497.08953
256,0.01,10,52629.42289
256,0.01,15,77233.98671
